prod,author,date,review_format,stars,comments
Deep Work (Rules for Focused Success in a Distracted World),Tanya Sherman,"June 12, 2018",Verified Purchase,1,"









  
  
    
  Do Not I repeat do Not spend your money on this long blog post. Horribly written. Boring no real value. Spent majority of the book trying to convince you of why deep work is important and then at the end skimming over a couple of things you can do. I want a refund on this book.

  
"
Deep Work (Rules for Focused Success in a Distracted World),MKJohnson,"January 7, 2016",Verified Purchase,5,"









  
  
    
  The Deep Work Hypothesis: The ability to perform deep work is becoming increasingly rare at exactly the same time it is becoming increasingly valuable in our economy. As a consequence, the few who cultivate this skill, and then make it the core of their working life, will thrive.Newport, Cal (2016-01-05). Deep Work: Rules for Focused Success in a Distracted World (p. 14). Grand Central Publishing. Kindle Edition.An exceptional book - useful from the first few pages. I've enjoyed Cal Newport's other books, and his blog Study Hacks, for quite awhile, so I was very excited to read this. It's very well written - Newport has a very clear, concise writing style that helps you get what you need from the material and apply it readily. He discusses the suitability of his processes for different types of careers, even examining those jobs that *might* not benefit from deep work, at least as much other professions. he's very practical in his recommendations and organized in his presentation. He's also taken the time to provide fairly exhaustive references. I loved ""So Good They Can't Ignore You,"" and this I enjoyed even more. Very highly recommended.A thought (quote) that keeps coming up for me lately is this, ""Our brains instead construct our worldview based on what we pay attention to."" Newport, Cal (2016-01-05).  It's so obvious really, but the implications should give one pause when constantly looking to social media to relieve our boredom.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Jamie Frater,"March 6, 2020",Verified Purchase,2,"









  
  
    
  The book opens with a focus on Nate Silver as an example of great success in the modern distracted world.  It even goes so far as to cite an incredibly basic SQL query as evidence of the extreme complexity involved in Nate's work. Haha.Anyway, I ceased to read after that.  Nate predicted one of the most predictable wins in US political history (Obama's election) and missed the next most predictable (Trump's).  Being right half the time doesn't a great case study make.  If the book is flawed so obviously at this early stage, I don't really trust anything beyond it.This will sit on my bookshelf sinking under the weight of gathering dust for twenty years until it's tossed in the trash in a future spring clean as one of those outdated books we can laugh at whilst saying: ""Remember when people believed this sort of thing?""

  
"
Deep Work (Rules for Focused Success in a Distracted World),MPC,"November 16, 2020",Verified Purchase,5,"









  
  
    
  This book has assisted me greatly in improving my focus and work. I found the advice so important that I wrote a one-pay summary that I provide others when I recommend the book to them.  Here is that summary.Deep Work: Activities performed in a state of distraction-free concentration that push your cognitive abilities to their limit. These efforts are crucial to accomplishing difficult tasks and improving abilities.Shallow Work: Non-cognitively demanding, logistical-type tasks, often performed while distracted.Network tools work against deep thinking/work.  Connectivity creates little tasks that upon completion falsely result in a productive feeling. Our brain always responds to distractions.  Multi-tasking has attention-residue that causes inefficient performance and thwarts deep-thinking. Depth-destroying instances are difficult to detect.  Behaviors that are easiest at the moment interfere with deep thinking/deep work. Busyness is not nor does it promote deep thinking/work, but is a seductive substitute for productivity.  The least resistance is short-term satisfaction that avoids the discomfort of concentration that leads to real meaning and long-term satisfaction.Focus requires reducing and, for extended periods, eliminating distraction. The benefits are professional (more meaningful thinking and work) and personal (more meaningful thinking and time with those who matter). Deep thinking is connected to a good life.Let your mind become a lens, thanks to the converging rays of attention; let your soul be all intent on whatever it is that is established in your mind as a dominant, wholly absorbing idea (Antonin-Dalmace Sertillanges, Dominican friar & professor of moral philosophy)To learn requires intense concentration (an act of deep work).  Deliberate practice focused attention and feedback to maintain focus.Replacing distraction with focus is difficult. Execution is more difficult than strategies.Work with others, but then often retreat to work alone.  Deep thinking/work can occur with others (Collaborative deep work), but everyone must be committed to such efforts. Even then, the individuals often retreat to work alone.You must batch hard important intellectual work into uninterrupted stretches. Sometimes days, but never less than an hour. Establish times and distraction-free environments.  The following are strategies. The bimodal and rhythmic strategies require great discipline!Monastic strategy Ã¢â‚¬â€œ two or three times a year go to a quiet location for deep thinking, work, and relaxation.Bimodal strategy Ã¢â‚¬â€œ dedicate clearly defined periods of time to deep thinking/work (e.g., one 8-hour day each week).Rhythmic strategy Ã¢â‚¬â€œ set hard stretches of time each day for deep thinking/work (no shorter than 1-2 hour stretches).Journalistic strategy Ã¢â‚¬â€œ shift into deep work on a momentÃ¢â‚¬â„¢s notice.Routines and rituals are absolutely required (the most important meta strategy) for deep thinking/work. Establish:Ã¢â‚¬Â¢ Where you will work and for how long (schedule 30-minute blocks all day, batching similar things, particularly shallow tasks):Ã¢â‚¬Â¢ How you will work once you begin; andÃ¢â‚¬Â¢ Efforts you will make to support your deep thinking/work time.Create a stake (grand gesture) that makes more likely you will follow through with your effort at deep thinking/work.Ã¢â‚¬Â¢ Focus on what is extremely important. All activities require time. Spend 80% of your time/attention on high impact activities.Ã¢â‚¬Â¢ Act on lead measures; behaviors that will drive success on lag measures (what you are seeking to improve).Ã¢â‚¬Â¢ Maintain a scoreboard of hours spend deep thinking/working and link to accomplishments.Ã¢â‚¬Â¢ Establish regular accountability checks.Ã¢â‚¬Â¢ Establish downtimes. Put more thought into your leisure time and make purposeful choices.Ã¢â‚¬Â¢ Finish your work day at an established time. Create a shutdown ritual that includes (a) quickly reviewing email inbox to ensure urgent messages have been addressed; (b) transfer new tasks onto your task list; (c) skim task list and calendar for the upcoming days to be mindful of important deadlines/obligations and time-frame for completing tasks; (d) plan the next day; and (e) say out loud Ã¢â‚¬Å“shutdown completeÃ¢â‚¬Â.Ã¢â‚¬Â¢ Wean yourself from distractions. Humans are suckers for irrelevancy. We struggle to stay on task.  Fight against distractions.Ã¢â‚¬Â¢ Fight against looping (thinking repeatedly about what you already know). To do so, identify the relevant variables, then identify the next step. Consolidate your gains and being the process again.Ã¢â‚¬Â¢ Take breaks from focused thinking/work rather than breaks from distraction. Schedule breaks from deep thinking/work. Schedule internet breaks, but keep the times short.Ã¢â‚¬Â¢ Email promotes shallow thinking/action. Place out-of-office auto-responder on email during periods of lengthy deep work.Ã¢â‚¬Â¢ Establish self-imposed deadlines at the edge of feasibility. This will push you to focus.Ã¢â‚¬Â¢ When walking, record on my phone my thinking regarding deep thinking/work efforts.Ã¢â‚¬Â¢ Identify your tech/media use and remove those whose positive outcomes donÃ¢â‚¬â„¢t substantially outweigh the negative outcomes.Ã¢â‚¬Â¢ Cognitive capacity is limited. Reflect on shallow activities and make wise choices when you must turn away from deep work.Ã¢â‚¬Â¢ Limit professional travel as it is disruptive to deep thinking/work.Ã¢â‚¬Â¢ Say Ã¢â‚¬Å“noÃ¢â‚¬Â to most all requests that do not align well with your deep tasks.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Kelly Schuknecht,"July 26, 2017",Verified Purchase,4,"









  
  
    
  Cal Newport makes a convincing argument that ""deep work"" is the key to eudaimonia (""a state at which you're achieving your full human potential"").In our present time of smartphones, social media and constant distraction connection, deep work has become rare.  Those who can focus deeply for periods of time (1-4 hours per day) can be more productive, more valuable and experience deeper satisfaction.In Deep Work, Newport draws attention to some of our seemingly productive habits that are truly just busyness. For example, forwarding an email with an open-ended question, such as: ""Thoughts?"" may take the sender just seconds to write/send, but may take the recipient an hour to sort through and respond if they want to do so thoughtfully.  This is what Newport calls ""busyness as proxy for productivity."" In the absence of clear metrics, people will fall back on what is easiest, and instead focus on being visible.Newport makes some really great arguments for making time in our schedules for deep, focused work.  Do you want to live a life of constant distraction and shallowness or a life of deep focus where you have clarity on what really matters and can accomplish more?  Although I will take the ""Quit Social Media"" chapter with a grain of salt, I do have to agree that deep work is necessary if you want to have a life that is truly rich and meaningful.""I'll live the focused life, because it's the best kind there is.""~ Winifred Gallagher

  
"
Deep Work (Rules for Focused Success in a Distracted World),Nick K. ,"December 18, 2018",Verified Purchase,5,"









  
  
    
  I wanted to give this 4 stars because I read about 60 pages and then skimmed the ending and felt like the whole book could be summarized on 1 page that says something to the effect of ""Learn to focus for 4 + hours uninterrupted, otherwise you won't get the extra benefits of industry/immersion.""It follows the new York best seller formula you've all come to know and love of anecdotes/stories/ experimental findings + author's interpretation/experience. Rinse repeat.If you've done any kind of creative or project work where you're in it all the time then this book will just Reinforce what you probably already know.Also don't use social media because it's distracting and turns you into a Muppet with the attention span of an ant. That's not me saying that, that's Me agreeing with Cal Newport saying that.I give this 5 stars because even though for me it's as revolutionary as a 4 star book I think it adequately goes in depth on the topic and presents it in a way that will genuinely help more people achieve deep work.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Amazon Customer,"January 9, 2016",Verified Purchase,3,"









  
  
    
  Like others have posted, I've been a big fan of Cal's work for a long time. I found his latest book surprisingly shallow with very few insights that jumped out to me as being non-obvious.Cal does an excellent job of building and structuring a logical argument, with a solid evidence base behind everything stated. In particular I loved the concept of scheduling distraction time rather than breaks from distraction, and 'productive meditation'.However these ideas felt like the could have been easily conveyed in a few blog posts, rather than 200+ pages - If you pick up this book you don't need to be convinced that deep work is better than shallow work.Overall, a solid read with a number of good anecdotes and quotes, but a bit light on the big light bulb moments that will change the way I work.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Michael J. Kerrigan,"August 24, 2017",Verified Purchase,4,"









  
  
    
  My assessment of well-written works like, Cal NewportÃ¢â‚¬â„¢s Deep Work is the strength of the logic, the value of the thesis and how often I explore the footnotes and go onto to further reading of other authors cited.There is little question of the value of the thesis of Deep Work or the importance of having the skills to quickly master hard things in the Intelligent Machine Age. The logic of achieving these skills, namely the ability to produce high value knowledge work at an elite level is less appreciated but the NewportÃ¢â‚¬â„¢s case for productivity is consistently made throughout Deep Work. The book argument answers not only the Ã¢â‚¬Å“whyÃ¢â‚¬Â but also the Ã¢â‚¬Å“how.Ã¢â‚¬ÂTo better understand the Ã¢â‚¬Å“whyÃ¢â‚¬Â one only needs to read page 27 where Newport  recalls the Ã¢â‚¬Å“bargaining theoryÃ¢â‚¬Â explain why the  Great Restructuring is a particularly good time to have access to capital. The brief excerpt from this page helps us better understand the value and timeliness of his thesisÃ¢â‚¬Â¦ Ã¢â‚¬Å“A venture capitalist in todayÃ¢â‚¬â„¢s economy can fund a company like  Instagram which was eventually sold for a billion dollars while employing  only 13 people. When else in history could such a small amount of labor  be involved in such a large amount of value. With so little input from labor,  the proportion of this wealth that flows back from the machine owners, in  this case, the venture investors, is without precedent.Ã¢â‚¬ÂProfessor NewportÃ¢â‚¬â„¢s book is deserving of five stars, except for the fact that I found confusing the organization of the NOTES section of the book. Nonetheless, I encourage all to carefully read Deep Work, understand the need to develop our knowledge skills, increase our professional productivity and cultivate an intense focus where we place our attention.

  
"
Deep Work (Rules for Focused Success in a Distracted World),MPD,"December 31, 2020",Verified Purchase,4,"









  
  
    
  This may not be the quickest read, but it is well worth investing the time and energy to read the book and consider what Newport argues regarding a deep work process something I wanted to learn more about since I engage in knowledge/education work. I like how he lays out the rules of deep work as well as the practicality of going about doing deep work consistently. Perhaps it all comes down to doing it in a way that works for you instead of just mimicking someone elseÃ¢â‚¬â„¢s style and process. Learn your process by trial and error. So if you want to improve your knowledge-worker impact, this book might be for you. I know it was impactful for me, and I look forward to applying many of the strategies Newport presented.

  
"
Deep Work (Rules for Focused Success in a Distracted World),DJRED,"September 17, 2019",Verified Purchase,1,"









  
  
    
  The author does little to look outside his particular industry when choosing the Ã¢â‚¬Å“winnersÃ¢â‚¬Â of the new economy and comes of as a typical arrogant intellectual. While his premise that we are distracted and must be able to focus more is accurate, His arrogant attitudes and narrow focus really made it hard to enjoy the book.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Larry Siegel,"July 28, 2017",Verified Purchase,3,"









  
  
    
  Mixed bag of suggestions to be more effective. After providing examples of ""deep"" thinking the book wandered off into exceptions. It will open a window into effective study and contemplation without becoming a monk or isolation in a cave. A few new ideas may not be worth the price?

  
"
Deep Work (Rules for Focused Success in a Distracted World),John Gardner,"August 19, 2017",Verified Purchase,5,"









  
  
    
  ""Look carefully then how you walk, not as unwise but as wise, making the best use of the time, because the days are evil."" ~ Ephesians 5:15-16Last month, our pastor recommended this book to the rest of the church staff as a resource for using our time well, tuning out the distractions and producing excellent work. The timing was good: I had felt as if my own personal productivity had taken a dip, to the point where the demands on my time were beginning to hurt my family. I was eager to make some changes, and this was definitely the right book at the right time.Cal Newport is certainly no slave to convention. In an era dominated by social media and constant connectivity, he calls for readers to intentionally disconnect more often, pursuing what he calls ""deep work"" free from distraction. But rather than being a ""curmudgeonly pining for the days of unhurried concentration,"" his book pursues ""a pragmatic recognition that the ability to concentrate is a skill that gets valuable things done."" (p 258).Newport describes deep work as: ""Professsional activities performed in a state of distraction-free concentration that push your cognitive capabilities to their limit. These efforts create new value, improve your skill, and are hard to replicate."" (p 3)This is contrasted with shallow work: ""Noncognitively demanding, logistical-style tasks, often performed while distracted. These efforts tend to not create much new value in the world and are easy to replicate."" (p 6)In my review of 2016, I found that most of my time was being spent on the latter at the expense of the former. Judging by the very well-researched findings of Dr. Newport, I'm far from alone, as the data shows that ""deep work"" is increasingly rare in today's economy. But I've never been satisfied with normal. As a believer, I am called to be a good steward of the time, talents, and intellect God gave me. By losing my ability to concentrate deeply and produce excellent work, I was drifting more and more into the sin of laziness, without even noticing.Thankfully Newport provides detailed and practical alternatives for making better choices with my time. The book is split into two sections. The first builds the case for the importance of deep work (it is valuable, rare, and meaningful). The second lists and expounds upon four rules for going deep. The most controversial--for most readers, anyway--is the chapter entitled ""Quit Social Media"" Nowadays we are constantly bombarded with the ubiquity of social media; it is accepted as a given that you must be active on social media (and on other tools of digital connectivity such as e-mail and instant messaging) in order to be a productive member of a digital economy.Newport doesn't mince words in pleading with readers to invest their time in activities which produce value, happiness, and contentment rather than allowing the allure of the Internet to distract us from work and family. And while I may not be totally signing off from all digital media (he acknowledges that this is not feasible or necessary for most people), I have already begun implementing many of his suggestions for planning my time (including planning when I will be accessible through e-mail and social media) more wisely, and have been both more productive and more available to my family in the last two weeks than I have been in some time.If you're like me, and like most other people in the world, you could benefit from learning how to concentrate better, longer, and with greater purpose. This book offers great practical tools which will aid you in your pursuit that goal. While it's not a ""quick fix""--it requires discipline, consistency, and a lot of hard work--it is something which, as I've already seen, can be implemented in relatively short order with almost immediate returns.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Bronx Book Nerd,"February 8, 2021",Verified Purchase,5,"









  
  
    
  What does it say about the impact of book that touts the value of intense concentration and for the first time in decades you read a complete book (that same book) in one day?  The message is clear: to succeed big in the new knowledge economy, knowledge workers must build the mental muscles to concentrate intensely on meaningful work for extended periods of time.  Although this sounds daunting, the max is typically four hours a day, but it would be four hours of super productive meaningful work.  The key is to find the structure that works for you tp fit in this deep work, and the author provides various options.  Another key is to reduce to a minimum shallow work, things like constant email checking, unnecessary meetings and such.  Newport also recommends a complete disconnect from social media.  He makes a strong case that we are all deluded by the idea that because social media provides any benefit, it is a must in one's life, even thought these benefits may be marginal only.  This book was written pre-pandemic, and the new work-from-home reality will require a re-look at the premises and suggestions, but for the most part, I believe most of the findings and conclusions will remain valid.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Charlie,"December 11, 2020",Verified Purchase,5,"









  
  
    
  Deep work is professional activities performed in a state of distraction-free concentration that pushes your cognitive capabilities to their limit. These efforts create a new value, improve your skill, and are hard to replicate. This book demonstrates why 'going deep' is the best way to live, and how most modern knowledge workers rarely go deep. Newport shows how modern work culture has shifted away from going deep and provides numerous concrete tips on how to get back to it.There is a ton of great information and I would highly recommend this book to just about anyone. Cal Newport is a very clear thinker and is a living example of the success that can be achieved by performing deep work. He shows you the importance of focus and how you can cut a lot of the trivial tasks that are probably consuming a lot of your time. He even mentions the great Arnold Bennett!If you are interested in improving your work or life, this book is a must-read. I am looking forward to reading his other books. Also, his podcast 'Deep Thoughts' is exceptional and if you want a preview of what this book has to offer, download a few episodes. I will be shocked if you do not follow up with purchasing this book and if you do not thoroughly enjoy it.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Nagy BarnabÃƒÂ¡s,"January 11, 2019",Verified Purchase,5,"









  
  
    
  Cal Newport's book is the very book I wanted to read in the topic of focused work. I also started to think about such habits in the past couple of years and working from home most of the time I managed to increase my own productivity.The book perfectly summarizes the failures and assumptions most people make nowadays - I always realize this when I ask somebody how many books he has read during last year. (To which the most common answer is zero... or for a luckier person maybe 1 or two). In a distracted world of Youtube, Netflix, and Facebook and your own inbox, finding time to go deep undistractedly takes a deliberate effort.I really appreciate the good tips on how to start minimizing email stress, and interuptions (this is particularly interesting because I am in Sales, so I should pick up the phone and be available for inquiries.) Even so I see how I can implement more of these strategies in my own life. Thank you Cal!

  
"
Deep Work (Rules for Focused Success in a Distracted World),RSW,"July 6, 2019",Verified Purchase,5,"









  
  
    
  This is a great book for anyone looking to maximize their work time and be more productive. Be warned though - this book will have you wanting to ditch cell phone distractions and social media for good. He argues that meaningless activities like these take away from our creative potential or intellectual capacity. Highly recommend if you want to become more productive and better at deep work.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Tom Morris,"November 6, 2020",Verified Purchase,3,"









  
  
    
  Other reviewers have already provided an excellent summary of the contents, so I'll jump right to the point.  There were some helpful tips in here, many of which were obvious (avoid social media and email), and some of which were insightful (creating routines to slip into a deep work mindset).  I took enough away to feel that I extracted sufficient value from the purchase, but the author's vantage point coming from the world of academia became tiresome and unrelatable.  His tips for ignoring incoming communications and avoiding shallow work simply aren't possible in the business world where reporting up and working in a matrixed environment with colleagues from different departments are part of your work expectations.  He mitigates this by setting aside blocks of time for addressing shallow work vs. deep work, but depending on your role this may or may not be possible.Overall, there was some good information included in the book, but it was clearly written from an academic perspective and doesn't translate into all business functions particularly well.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Bob Ipad,"February 18, 2020",Verified Purchase,5,"









  
  
    
  A book on deep work that takes deep work to read. ThatÃ¢â‚¬â„¢s OK.  I tackled a chapter a day and fought to practice,deep work while reading. Newport gives a fitting call to return to deep, thoughtful work. While this book may seem like itÃ¢â‚¬â„¢s for knowledge workers thereÃ¢â‚¬â„¢s something here for everyone.Newport starts by laying out the benefits, learning hard stuff fast and performing at high levels. The basic premise is straight forward. You need to minimize distractions to focus on intense and meaningful work. There is more to it but thatÃ¢â‚¬â„¢s a start.Newport lays out plenty of success stories with motivations for deep thought along with some principles and practices to achieve deep work. The principles and practices are varied to fit people in various fields as well as transitioning from shallow to deep work.Rest assured, you will not be told to toss all your devices and cancel all your social media accounts. I read this on my IPad Kindle app. You may chose to toss them anyway but that is not the point. You will be helped with using those things wisely and discover you can survive in the process.Maybe itÃ¢â‚¬â„¢s time to leave the Shallows for the movie sounds track and dive into deep work.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Jeremey Donovan,"January 31, 2016",Verified Purchase,5,"









  
  
    
  To what: Master the art of (quickly) learning complicated thingsSo that why: To gain an edge in our economy and to enjoy the linkage between attention and happinessBy means of how:a. Ã¢â‚¬Å“move beyond good intentions and add routines and rituals to your working life designed to minimize the amount of your limited willpower necessary to transition into and maintain a state of unbroken concentrationÃ¢â‚¬Âb. Monastic deep work = isolating yourself from shallow obligations; Bimodal deep work = divide your time between monastic isolation and shallow obligations; journalistic deep work = shifting back and forth during the day (works in only the rarest of cases)c.  Ã¢â‚¬Å“the single best piece of advice I can offer to anyone trying to do creative work is to ignore inspirationÃ¢â‚¬Âd. Your ritual needs to ensure your brain gets the support it needs to keep operating (esp. coffee, food, exercise, rest)e. Keep a public scoreboard of progress, leading indicator(s), toward your goalf. Ã¢â‚¬Å“At the end of the workday, shut down your consideration of work issues until the next morningÃ¢â‚¬Âg. Move tasks out of your mind and onto a to-do list (paper or electronic)h. Ã¢â‚¬Å“Schedule in advance when youÃ¢â‚¬â„¢ll use the Internet, and then avoid it altogether outside these times.Ã¢â‚¬Âi. Ã¢â‚¬Å“As in mindfulness meditation, you must continue to bring your attention back to the problem at hand when it wanders or stallsÃ¢â‚¬Âj.  Ã¢â‚¬Å“drop the need for a weekly status meeting in preference for results-driven reportingÃ¢â‚¬Âk. Ã¢â‚¬Å“send fewer e-mails and ignore those that arenÃ¢â‚¬â„¢t easy to processÃ¢â‚¬ÂWhen:a. Build a habit with a set starting time that you use every day for deep workb. Ã¢â‚¬Å“map out when IÃ¢â‚¬â„¢ll work deeply during each week at the beginning of the week, and then refine these decisions, as needed, at the beginning of each dayÃ¢â‚¬Âc. Deliberate practice: Start with an hour a day and build to Ã¢â‚¬Å“Three to four hours a day, five days a week, of uninterrupted and carefully directed concentrationÃ¢â‚¬Â in combination with Ã¢â‚¬Å“feedback so you can correct your approachÃ¢â‚¬Âd. Ã¢â‚¬Å“the minimum unit of time for deep work in this philosophy tends to be at least one full day. To put aside a few hours in the morning, for example, is too short to count as a deep workÃ¢â‚¬Âe. Ã¢â‚¬Å“perhaps once or twice a month, take a period of two to four days to become completely monastic.Ã¢â‚¬Âf. Ã¢â‚¬Å“DonÃ¢â‚¬â„¢t Take Breaks from Distraction. Instead Take Breaks from FocusÃ¢â‚¬Â; Be comfortable being bored; idleness is essential to mental recoveryg. Ã¢â‚¬Å“Schedule Every Minute of Your DayÃ¢â‚¬Âh. Ã¢â‚¬Å“If youÃ¢â‚¬â„¢re not sure how long a given activity might take, block off the expected time, then follow this with an additional block that has a split purpose. If you need more time for the preceding activity, use this additional block to keep working on it. If you finish the activity on time, however, have an alternate use already assigned for the extra blockÃ¢â‚¬ÂWhere:a. Ã¢â‚¬Å“Your ritual needs to specify a location for your deep work efforts.Ã¢â‚¬Âb. Ensure regularity in WHERE you do deep workc. Avoid shared workspaces when doing deep work

  
"
Deep Work (Rules for Focused Success in a Distracted World),John F. McGowan,"May 14, 2017",Verified Purchase,5,"









  
  
    
  Cal Newport's Deep Work is a short but excellent book on how to work in a very focused, productive way.  It is an antidote to ""open offices,"" social media and smartphone distractions, and other factors that have become commonplace the last few years.  It has many good examples and suggestions for focusing and more effective ""Deep Work"" for the reader.Deep Work has a few weaknesses.  Like most self-help books, it uses a lot of exceptional examples -- Theodore Roosevelt did this, Carl Jung did that -- rather than more systematic surveys and data to make its' case.  Although I believe the notion of ""Deep Work"" is mostly valid, it is vaguely defined, a weakness it shares with K Anders Ericsson's ""Deliberate Practice"" (famously popularized by Malcolm Gladwell).

  
"
Deep Work (Rules for Focused Success in a Distracted World),M. Santiago,"February 8, 2016",Verified Purchase,5,"









  
  
    
  This book helped me get 2016 started with a bang. After serious procrastination on a number of writings last year--and fruitless writing sessions--I finally embraced the idea explored in Deep Work: producing valuable, creative work requires bouts of intense concentration and keeping one's mind 'clean'. I (1) began dedicating 2 to 4+ hours on mornings to my writing projects, procrastinating instead on the little --less important-- busywork, (2) stopped my daily habit of reading a series of blogs/news, and (3) curtailed my work time to last until 5:30pm, no work afterwards.I made more progress in 3 weeks than in the previous 3 months combined. And I don't even feel that tired. In hindsight, this experience explains why I did well years ago as an engineering undergraduate, in spite of not being a dedicated student: when I did study, I enjoyed the topics and focused intently on understanding the material and solving the problems. Focus pays off.Deep Work offers an overarching theme to organize the working life of a knowledge worker, something missing from the often-quoted GTD methodology (which I use daily). Hard, creative tasks cannot be divided into a 'series of little steps'. Purported as a way to help difficult tasks seem less daunting, breaking down tasks into little pieces instead frustrated me, as I tried to check off to-dos in between reading news. Consuming highly addictive entertainment (Facebook, Twitter, clickbait, etc.) undermines the concentration necessary to produce value. Deep work is highly satisfying, and helps bring in the money.Throughout the book Cal uses peer-reviewed research, articles and anecdotes to back his points, keeping the book both informative and easy to read. A rare 'page-turner' experience on the topic of working effectively.

  
"
Deep Work (Rules for Focused Success in a Distracted World),nanci hobson,"December 3, 2016",Verified Purchase,5,"









  
  
    
  I'm a sign business owner and musician, and I bought this book because I'd like to make more of the time I have, I never have enough for my music.  I am always distracted.  I heard about it on NPR, and was intrigued.  I'm about halfway through, and I've already decided that I will probably re-read it in the future, it is wonderfully inspiring.  I enjoy the author's style of writing very much.  It is enjoyable to read, the concepts are very clear, and it is already having a positive effect on my work. I cannot recommend this book highly enough, and I hope that I can all 3 of my teenage girls to read it.  It's the kind of read that is a life-changer.

  
"
Deep Work (Rules for Focused Success in a Distracted World),Shiri Dori-Hacohen,"February 1, 2016",Verified Purchase,5,"









  
  
    
  I love Cal Newport's work, am a longtime reader of his blog and his previous book, ""So Good They Can't Ignore You"", and this book was no exception. I took copious notes throughout the book and highly recommend it to anyone in a technical field, or in any kind of creative endeavor whatsoever. Even if you think you're not working in a field that requires deep work, think again. Newport's convincing arguments for the value of deep work and its importance in our automation-leaning economy are compelling. Do you think you can't be outsourced or your work mechanized? In the coming years, as other authors have argued (cf. Dan Pink's book, Thinking on The Right Side of the Brain among others), the value of humans as employees will increasingly rely on our ability to come up with creative, deep insights that are still beyond the reach of machine intelligence or low-paid individuals in developing countries. And we will definitely not be paid for reading and responding to our email.Cal Newport shows the way to a better work environment where you are contributing results that can't easily be replicated without you.My only beef with the book, and one that I've struggled with in all of Newport's materials, is that his advice seems particularly suited for people who know what they want to achieve and what goals to set their sights on. It is less helpful for those of us who are ""Renaissance Souls"" (seeÃ‚Â 

  
The Renaissance Soul: How to Make Your Passions Your Life-A Creative and Practical Guide









  
  
    
  ) and wired more like Benjamin Franklin than Mozart. The irony is that even as Cal Newport strongly recommends picking one thing and focusing solely on it, he himself has been extremely successful in both his main focus - his academic career - and his ""side interest"", his business/blog/books. I found little advice on how to bring the concept of Deep Work to bear on multiple pursuits.That caveat aside, the final score is still definitely a 5 star rating. Highly recommended.

  
"
